duration_time,team_1_result,team_1_kills,team_1_deaths,team_1_assits,team_2_result,team_2_kills,team_2_deaths,team_2_assits
1261,0,8,16,19,1,16,8,37
1165,1,27,12,45,0,12,27,16
1505,1,21,9,33,0,9,21,15
1564,1,28,15,40,0,15,28,18
1905,1,40,30,59,0,30,40,34
1542,1,30,20,55,0,20,30,31
1734,0,15,26,22,1,26,15,51
1483,0,16,46,18,1,46,16,59
2222,0,37,52,62,1,52,37,102
1909,0,25,42,31,1,42,25,58
1565,0,19,35,23,1,35,19,54
1424,1,20,13,40,0,13,20,12
2210,0,39,40,58,1,40,39,66
1323,1,25,14,35,0,14,25,17
191,0,1,1,1,1,1,1,1
1828,0,26,35,43,1,35,26,40
1393,1,23,14,20,0,14,23,18
2218,1,33,26,52,0,26,33,48
1699,1,34,23,50,0,23,34,29
914,1,16,6,27,0,6,16,10
1246,1,26,11,49,0,11,26,14
1446,0,17,36,23,1,36,17,88
1983,1,31,26,68,0,26,31,46
1791,1,40,23,88,0,23,40,38
1617,1,34,26,70,0,26,34,31
942,0,10,22,7,1,22,10,35
1616,0,23,41,25,1,41,23,53
1407,1,40,21,54,0,21,40,22
1352,1,35,20,46,0,19,35,19
1651,0,19,43,21,1,43,19,69
1116,1,32,4,38,0,4,32,6
1673,1,24,18,35,0,18,24,25
958,0,11,22,12,1,22,11,23
1276,1,27,10,39,0,10,27,13
1074,1,16,5,15,0,5,16,5
969,0,3,18,1,1,18,3,18
1650,0,17,34,18,1,34,17,47
2027,1,27,14,50,0,14,27,25
1989,0,28,37,51,1,37,28,66
1491,0,19,32,36,1,32,19,63
1706,0,21,27,51,1,27,21,45
2110,0,40,37,49,1,37,40,44
2431,0,48,63,59,1,63,48,113
1778,0,20,30,29,1,30,20,60
1475,0,26,39,43,1,39,26,62
1210,1,21,13,38,0,13,21,19
1986,0,26,28,39,1,28,26,51
1531,1,30,14,49,0,14,30,20
2135,1,23,17,49,0,17,23,38
1548,0,27,33,43,1,33,27,56
1831,1,37,25,53,0,25,37,33
1307,0,16,35,15,1,35,16,46
1380,1,34,12,43,0,12,34,15
1853,0,20,33,30,1,33,20,48
1557,0,16,30,17,1,30,16,46
1219,0,19,34,19,1,34,19,52
1765,0,29,29,45,1,29,29,54
